"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-10-10T23:10:07.000Z","STX","0.000","","0","0","0.595","","","Receive","","0xaf0a474f97f4eb3bb711e31ce1439d4d8bc15e2499fb93e49fff0c1b14595f86","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/10/2025 23:10:07"
"USD","2025-10-10T23:10:07.000Z","","0","STX","4000000.000","0.009429","","0.595","0.595","Send","","0x526f785b69c54b1b5ef1b50bc8acef2317a90a6d9614e45422624482e75bf580","0","4000000000000","9429","","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","10/10/2025 23:10:07"
"USD","2025-10-10T20:52:26.000Z","STX","0.000","","0","0","0.595","","","Receive","","0x00c6f41e9c66efe3ac634048171eb8010c45745c3cd54cb13bae366dfd782ee2","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/10/2025 20:52:26"
"USD","2025-10-10T20:52:26.000Z","STX","0.001","","0","0","0.595","","","Receive","","0xb13f12a62f7ae3d4af78ce961449662cefbdbb03244cb093af60d1c0fb26e242","1000","0","0","SP30742YR27SYJF29W9GRS7PT2PNECBKKBQP2GHNC","","","10/10/2025 20:52:26"
"USD","2025-10-10T20:52:26.000Z","","0","STX","1500000.000","0.003","","N/A","N/A","Send","","0x4067c4c0fdeb2ae3fb4bd71d149086d38141210b35223ca1d72772ceb4760876","0","1500000000000","3000","","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","10/10/2025 20:52:26"
"USD","2025-09-30T06:30:21.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x4636dbb1f64f990ac83f0967a8ba9ba96670b5a9b2051ce2d72b8125ba40009c","1000","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","09/30/2025 06:30:21"
"USD","2025-09-30T06:30:21.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xa6ad58c9df370857beb15ed5a86b312ba52450f5c8d86ff4ee96ff36ac5d74c2","1000","0","0","SP30742YR27SYJF29W9GRS7PT2PNECBKKBQP2GHNC","","","09/30/2025 06:30:21"
"USD","2025-09-30T06:22:12.000Z","","0","STX","6000000.000","0.003","","N/A","N/A","Send","","0xaa3ddd6103659fdf2dd0641e4d3a8eeb087d24dd3537cf5848c6cc81c0b7a9af","0","6000000000000","3000","","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","09/30/2025 06:22:12"
"USD","2025-09-18T21:46:07.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x2f87a8c2dccac1114e2383dde0f31b43c17dbe270cc2c47ca6b2a553cd187a21","1000","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","09/18/2025 21:46:07"
"USD","2025-09-18T21:02:30.000Z","","0","STX","3000000.000","0.05","","N/A","N/A","Send","","0x036f266dc8ed1512b3ef56c2a913fd463f61464193f8a7cacd0fcd61fff38933","0","3000000000000","50000","","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","09/18/2025 21:02:30"
"USD","2025-09-18T21:02:30.000Z","STX","1.000","","0","0","N/A","","","Receive","","0xfb59b57b19324f68184d54335a89cfdb1919aa2ef0ffd7824b954260e6de3743","1000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","09/18/2025 21:02:30"
"USD","2025-09-18T13:56:35.000Z","STX","107334916.667","","0","0.05","N/A","","N/A","Receive","claim","0x1da9d6787a938711130465cab0197097a2510df3063fe298f48b4cdfd3dd4f2a","107334916666666","0","50000","SP000000000000000000002Q6VF78.sip-031","","","09/18/2025 13:56:35"
"USD","2025-07-30T08:01:39.000Z","FlatEarth","1000000000","","0","0","N/A","","","Receive","transfer","0x4d524c97811761853bc376fc09464cf4baa9488e6d4c53652494c21792c67025","1000000000","0","0","SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6","","","07/30/2025 08:01:39"
"USD","2025-07-30T05:25:54.000Z","rock","6969000000","","0","0","N/A","","","Receive","transfer","0xe6470bc7f9e83411673c46f36c741183235508c46578083df8cfc1a71a8d4d3b","6969000000","0","0","SP22KATK6MJF40987KB2KSZQ6E027HQ0CPP73C9Y","","","07/30/2025 05:25:54"
"USD","2025-07-30T02:40:42.000Z","BNS-V2#341938","1","","0","0","N/A","","","Receive NFT","transfer","0xa357e2344bb31c050ceec10394ec190b6b0c4e96647fdf2a94dd9e26d9504e9f","1","0","0","SP2S7VQN3HW9PRJGVH25DD42Y5RYA1EVE0K4T6V2R","","","07/30/2025 02:40:42"
"USD","2025-07-30T01:41:45.000Z","B","1000000000000","","0","0","N/A","","","Receive","transfer","0x73eefe2f08a4e353606d8e8048ab6185c4e378b1bcc5f507d0a26efe4f9a572d","1000000000000","0","0","SP2S7VQN3HW9PRJGVH25DD42Y5RYA1EVE0K4T6V2R","","","07/30/2025 01:41:45"
"USD","2025-07-19T18:42:11.000Z","","0","STX","0.150","0.003","","N/A","N/A","Send","","0xa5fa0773bff1bda07ea5a17d721c9057392d1b2cdf50c9a645c0dcc5d975cda6","0","150000","3000","","SM21WDQ7P8B9P1JA7CK1EPV0W19K4GMCWX0VE3G0T","","07/19/2025 18:42:11"
"USD","2025-07-19T18:29:07.000Z","","0","STX","0.250","0.003","","N/A","N/A","Send","","0x11c808bf678d15088190becc1c9e97eeed7e0d89d0556465418ce7458de78be5","0","250000","3000","","SM21WDQ7P8B9P1JA7CK1EPV0W19K4GMCWX0VE3G0T","","07/19/2025 18:29:07"
"USD","2025-07-19T18:11:42.000Z","STX","1.000","","0","0","N/A","","","Receive","","0xaefb9272c50e8fd396772a1bea448f0d5ebbf9e8223222fbcc6ab285edeace99","1000000","0","0","SP3M82AJPJ035C1TEAZNM524K51JWQHWNR7XNNX4P","","","07/19/2025 18:11:42"
