"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-12-12T20:36:52.000Z","STX","0.001","","0","0","0.298","","","Receive","","0x3dcfe669911bd7c3523f0b749ea7a3ffdffbdd9ca16d63124124a6625e37ab59","1000","0","0","SP15ERP9EV2S4KGRQWCB1RTCBJ3GR8F58KXT61AKP","","","12/12/2025 20:36:52"
"USD","2025-12-12T20:36:52.000Z","STX","0.001","","0","0","0.298","","","Receive","","0xcdca2a2cd0a0a1bf5b302769e22aef4011425a3c3900517d48a605e47dc3bf63","1000","0","0","SP15ERP9EV2S4KGRQWCB1RTCBJ3GR8F58KXT61AKP","","","12/12/2025 20:36:52"
"USD","2025-12-12T20:36:52.000Z","STX","0.000","","0","0","0.298","","","Receive","","0x4a20a593fbd4727bd5e5fd510b2ad99cec02ed0125a8da68c79cf2ec7e347a1f","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","12/12/2025 20:36:52"
"USD","2025-12-12T20:36:52.000Z","STX","0.001","","0","0","0.298","","","Receive","","0x06ff56a60381fd58a2559bf13760cfaf3ab914a03e763698f1a2381618aeaee1","1000","0","0","SP15ERP9EV2S4KGRQWCB1RTCBJ3GR8F58KXT61AKP","","","12/12/2025 20:36:52"
"USD","2025-12-12T20:36:52.000Z","","0","STX","125000.000","0.000444","","0.298","N/A","Send","","0xf2b1bef7c8e6a77f617ce84c3a0da427cad784737b3746a088b0518c7be0d59d","0","125000000000","444","","SM15R5CVQCMB00S4XGYQSR4C2EFKMH1TAGYB61AKP","","12/12/2025 20:36:52"
"USD","2025-12-12T20:13:52.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x01550e643d5f3b98b7a3825393d48af1616d2cb7ced634a02747d21e9c24ccbc","1000","0","0","SP15ERP9EV2S4KGRQWCB1RTCBJ3GR8F58KXT61AKP","","","12/12/2025 20:13:52"
"USD","2025-12-12T19:58:30.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x039d70181cb3a04a659c85beb31e3dccf3967ab1acb9d5f0aacb2d0d2ca2c1af","1000","0","0","SP15ERP9EV2S4KGRQWCB1RTCBJ3GR8F58KXT61AKP","","","12/12/2025 19:58:30"
"USD","2025-12-12T19:58:30.000Z","","0","STX","1.000","0.000444","","N/A","N/A","Send","","0x1f2b43ff4faf375c3241e8facc8fa92680e5a0fa8512a0bf19e79e696780dcf1","0","1000000","444","","SM15R5CVQCMB00S4XGYQSR4C2EFKMH1TAGYB61AKP","","12/12/2025 19:58:30"
"USD","2025-12-10T22:46:00.000Z","STX","0.000","","0","0","N/A","","","Receive","","0x147b30910acb512528fd98bc7571a4ccbfddddc63e6e0531eb1fec49c40582a1","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","12/10/2025 22:46:00"
"USD","2025-12-10T22:46:00.000Z","","0","STX","586205.000","0.0111","","N/A","N/A","Send","","0xaffa5df054361fbc93b3d8f986f46f086891d7fcca3dc66576668712076090ec","0","586205000000","11100","","SMGCKN654RA54SY53BGCJCVZ7JYPNT1BGM1BKMPM","","12/10/2025 22:46:00"
"USD","2025-12-10T18:01:12.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x54aff69bc049e5fdd5703225e8a157fd02f2122023b6571a591deb6f1f065052","1000","0","0","SP1RTC87BR3W7AVZCNHD5XE3SES7SNJ6RX982AXYB","","","12/10/2025 18:01:12"
"USD","2025-12-10T18:01:12.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xb6ba8d139e347fb88007faf779f1d7fc45712735dfbf1ae5702cd87802840dc2","1000","0","0","SP1RTC87BR3W7AVZCNHD5XE3SES7SNJ6RX982AXYB","","","12/10/2025 18:01:12"
"USD","2025-12-10T18:01:12.000Z","STX","0.000","","0","0","N/A","","","Receive","","0x80596b1e2a9705dc2d828975ef868cc8aa69a34c698e263854edef4434948ed1","100","0","0","SP1RA4T8R7PVQPXRY738S79SYCZ34TTG6BYGBAXYB","","","12/10/2025 18:01:12"
