"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-11-05T21:48:23.000Z","","0","STX","1000000.000","0.003","","N/A","N/A","Send","","0x353d74efc582b5164f92fc693ebe82f7d7c92adbd1ba4bbca37908ec8b082d37","0","1000000000000","3000","","SPJYNB7A3SGVZMXKHYPJJ9V9WWPN986NRESMN3P9","","11/05/2025 21:48:23"
"USD","2025-11-04T22:11:25.000Z","STX","0.000","","0","0","N/A","","","Receive","","0x35a1867dd2b068f24ca13e4e66ae1c903d302a619c394ceb2373219b563053fa","100","0","0","SP2672XX9H0FAR1KF5RT1K28ZTW0PHFJ2H7QJYDC","","","11/04/2025 22:11:25"
"USD","2025-11-04T22:11:25.000Z","","0","STX","1100000.000","0.003","","N/A","N/A","Send","","0xacef7e2baf5bc90a60da326da419ea0bea34c01915d5d2ffd13c27b5ed08ed6a","0","1100000000000","3000","","SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC","","11/04/2025 22:11:25"
"USD","2025-11-04T22:11:25.000Z","","0","STX","1100000.000","0.003","","N/A","N/A","Send","","0x24be6f032a4e5cf2c1c36fbb77d08e36ca9c608a59e48fc411988157672a413d","0","1100000000000","3000","","SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES","","11/04/2025 22:11:25"
"USD","2025-11-03T22:00:55.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x80ddec8e11876d8b65a68aacd6999417aa4fbc04e51ffb4344568e66cc25e222","1000","0","0","SP2Y3CPN0FH5FCPK4RWSVA86VK8PGX1VK8SB8E0HK","","","11/03/2025 22:00:55"
"USD","2025-11-03T21:46:08.000Z","","0","STX","360000.000","0.003","","N/A","N/A","Send","","0x63224f5ff500215960f6e5ac929aa6138b90dcea217c0abe285f7b24a6bc3bf9","0","360000000000","3000","","SM2YMXA7MGH61XN74HHN5MKKBCDFGYA2JG2N8E0HK","","11/03/2025 21:46:08"
"USD","2025-11-03T20:45:15.000Z","STX","8910000.000","","0","0","N/A","","","Receive","","0x60af472db27f245f1e733b0362bbaaaecb415bd58d9b5f68dfd862f3d1666425","8910000000000","0","0","SM1Z6BP8PDKYKXTZXXSKXFEY6NQ7RAM7DAEAYR045","","","11/03/2025 20:45:15"
"USD","2025-10-10T23:47:51.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xfc00b1d6bb71929aa63bd19456dd5519d94d7d9f7acdd912a9545123d91b5454","100","0","0","SP1B0S0JFQ2QQBP43TJHVP37G2TSSMJF81GNX0NES","","","10/10/2025 23:47:51"
"USD","2025-10-10T23:47:51.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xd0b2446c3b9df0fcc42e9c514db4740f9d19a4dd08fd9c5b444153ed4a583cf7","1000","0","0","SP1B3YM4SGANJY10EB2E9DQZ14QQXFQE9Z7V00NES","","","10/10/2025 23:47:51"
"USD","2025-10-10T23:28:04.000Z","","0","STX","250000.000","0.003","","N/A","N/A","Send","","0x7dc654da76d82b266b108714d635eff368d804f7195e7ccb2454d489e13f8763","0","250000000000","3000","","SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES","","10/10/2025 23:28:04"
"USD","2025-10-10T23:28:04.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xa07aea74aebbe667ecd34bb454ec002c1e9254c5d78021bbf10672b67737b1e2","100","0","0","SP1B0S0JFQ2QQBP43TJHVP37G2TSSMJF81GNX0NES","","","10/10/2025 23:28:04"
