"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-12-12T05:47:45.000Z","STX","0.001","","0","0","0.298","","","Receive","","0x0357d16a3128111c0d8fa8f1c4c41ae5c1eda9951fcfd56ded6f0708a33e773e","1000","0","0","SP3JV78HE1NJZQ95S83QF7TXTK4DRCMAKMAK17389","","","12/12/2025 05:47:45"
"USD","2025-12-12T05:47:45.000Z","STX","0.000","","0","0","0.298","","","Receive","","0xc99edf865f2bbbcf8931e67454b85e8fcac84fddd1523f9de8069379a71fee9a","100","0","0","SP3JYA3G6D24NPN1FCV0GKX9RKQVQPP2P29BM7389","","","12/12/2025 05:47:45"
"USD","2025-12-12T05:47:45.000Z","STX","0.001","","0","0","0.298","","","Receive","","0x242f37b9b7e315d6588546f8b1427c315a9c48c7b7c4f796753fb76b2922cd69","1000","0","0","SP3JV78HE1NJZQ95S83QF7TXTK4DRCMAKMAK17389","","","12/12/2025 05:47:45"
"USD","2025-12-12T05:47:45.000Z","","0","STX","849.000","0.000444","","0.298","0.298","Send","","0xd0291f21c56dc16d68eaab15ab5c45952c946fd0139edbe1f0687d16fbda6972","0","849000000","444","","SP3JZSXJVEB37ZB01ZCM6C4X6913GSECG9XG17389","","12/12/2025 05:47:45"
"USD","2025-12-12T05:47:45.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xae9eeddce311d63bcc9bc0b771a23a5db65fa0dca60f8cc7d32315dd5eac845d","100","0","0","SP35CH5YR8Y7WEH77JRP1SVSVMN3V9F0MD0F7EK57","","","12/12/2025 05:47:45"
"USD","2025-12-12T05:47:45.000Z","","0","STX","5100.000","0.000444","","N/A","N/A","Send","","0x055d531cfb3a17e76360026e2906b03f8dd77d17bcae0520d2adaa01c3130d93","0","5100000000","444","","SP35EJGVC3R1F92J4RR7E0BC2RA6A9VNWAHDJEK57","","12/12/2025 05:47:45"
"USD","2025-12-11T21:33:39.000Z","STX","0.000","","0","0","N/A","","","Receive","","0x70767a1dc0290c57764dcd53ab5c8710a1be6bda9dde5122174e200bbaa16be0","100","0","0","SP1V07008H81XRFENRYFJ7G5HZH8BCZCYPMPT01PE","","","12/11/2025 21:33:39"
"USD","2025-12-11T21:20:12.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xb0a88bc153ca45b22d2f42c621f8191016ccb4b0bee57e9f0d5e5778fe3b99c9","1000","0","0","SP1V5EP35C86KSHEQSB1CJ1YBPRFGWYT9V7FN01PE","","","12/11/2025 21:20:12"
"USD","2025-12-11T21:20:12.000Z","","0","STX","1670.000","0.000444","","N/A","N/A","Send","","0x3cdb2a0962531f831a9133f707e9674602a2ccb19817d15fa47eec0d28935f31","0","1670000000","444","","SP1VSYCCDQ5K5G8TBMPZM3QV2YDGBWWMTWQEN01PE","","12/11/2025 21:20:12"
"USD","2025-12-11T20:22:33.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x233b5529789c7cac7c37fbaf2cae3b15504666b15da24b03d81fa6b0689664fd","1000","0","0","SP308NZGDP3J6NFNYY48F1FXBN3QQMDRTD4E85WVV","","","12/11/2025 20:22:33"
"USD","2025-12-11T20:22:33.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xab23a87ebfaed38c49132bac01a0c46d7f6976cf52b5e59ffc617442878b0deb","100","0","0","SP30G7YKH5QTA3KS7Q85HPZNZN883SKZ6GEBA5WVV","","","12/11/2025 20:22:33"
"USD","2025-12-11T20:22:33.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xc9748dfb6e29b960f9982dc74862c25c480c2a580a0b5b99ec72ad535476c301","1000","0","0","SP308NZGDP3J6NFNYY48F1FXBN3QQMDRTD4E85WVV","","","12/11/2025 20:22:33"
"USD","2025-12-11T20:22:33.000Z","","0","STX","3401.000","0.000444","","N/A","N/A","Send","","0x9ac0b3e486456807fa9cb6d5b2f7455483c34bdb3eeb3f8dfbf4028c3ed092ab","0","3401000000","444","","SP30KZS9YJ5BRTM39HMDC0QBF83PXNDSQTG285WVV","","12/11/2025 20:22:33"
"USD","2025-12-11T20:22:33.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x980b03b1caee5e948e5d6df0cfd373421ba20f9086aa80f34d6f9b2d554dd94d","1000","0","0","SP1F72BVCTAP7W14C1VZZB3FBT1BX3MGKKDBQSEBN","","","12/11/2025 20:22:33"
