"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-11-04T22:11:25.000Z","zwstx","1000000000000","STX","1000000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x317e200425a00b36ff7faf06c1a66128663e1e169b44315a5e547e7f449bcd4b","1000000000000","1000000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","11/04/2025 22:11:25"
"USD","2025-11-04T22:11:25.000Z","zwstx","244074","","0","0","N/A","","","Receive","supply","0x317e200425a00b36ff7faf06c1a66128663e1e169b44315a5e547e7f449bcd4b","244074","0","0","","","","11/04/2025 22:11:25"
"USD","2025-11-04T22:11:25.000Z","STX","1100000.000","","0","0","N/A","","","Receive","","0x24be6f032a4e5cf2c1c36fbb77d08e36ca9c608a59e48fc411988157672a413d","1100000000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","11/04/2025 22:11:25"
"USD","2025-11-04T21:37:08.000Z","zwstx","30000000000","STX","30000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x9020a326f93025c01f3f76fea9d29cfb2b03678ff8b254debcd4c1bad6bdb3ab","30000000000","30000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","11/04/2025 21:37:08"
"USD","2025-11-04T21:37:08.000Z","zwstx","1072403662","","0","0","N/A","","","Receive","supply","0x9020a326f93025c01f3f76fea9d29cfb2b03678ff8b254debcd4c1bad6bdb3ab","1072403662","0","0","","","","11/04/2025 21:37:08"
"USD","2025-10-10T23:47:51.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xe45be4ed10f28ff3536115ec1b042dafe5e4c0c12413819f928df58729c9855f","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/10/2025 23:47:51"
"USD","2025-10-10T23:47:51.000Z","zwstx","250000000000","STX","250000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x3358320113435d5c3160de6da12bbedb29f150ce2f6493ff199e5f7d1ebdab7f","250000000000","250000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/10/2025 23:47:51"
"USD","2025-10-10T23:47:51.000Z","zwstx","116415","","0","0","N/A","","","Receive","supply","0x3358320113435d5c3160de6da12bbedb29f150ce2f6493ff199e5f7d1ebdab7f","116415","0","0","","","","10/10/2025 23:47:51"
"USD","2025-10-10T23:28:04.000Z","STX","250000.000","","0","0","N/A","","","Receive","","0x7dc654da76d82b266b108714d635eff368d804f7195e7ccb2454d489e13f8763","250000000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","10/10/2025 23:28:04"
"USD","2025-10-10T23:28:04.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xc45ca0e82bdf3748ec81bd5b5e49accf36d38ca8ba56ae20c1c867fad6ffa513","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/10/2025 23:28:04"
"USD","2025-10-10T23:28:04.000Z","zwstx","400000000000","STX","400000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x1049aa1d6cceb4eb8cbd07c4659d06862d04e51ae046509b30b72e69d63f10ab","400000000000","400000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/10/2025 23:28:04"
"USD","2025-10-10T23:28:04.000Z","zwstx","975740","","0","0","N/A","","","Receive","supply","0x1049aa1d6cceb4eb8cbd07c4659d06862d04e51ae046509b30b72e69d63f10ab","975740","0","0","","","","10/10/2025 23:28:04"
"USD","2025-10-10T23:28:04.000Z","STX","425000.000","","0","0","N/A","","","Receive","","0x50986ecdc6be56a47110a62d287322767d2599c2fcb7de0f3bfe382298f7fca2","425000000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","10/10/2025 23:28:04"
"USD","2025-10-10T23:10:07.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xa6e7f2ce2f48e66f9ab5bc32d0f99897586bd02a2b7ea6a8aba19cb9450e8e69","100","0","0","SP00E7W7JGS6Q80AC9SKCGPD2X65R4EYGA42000","","","10/10/2025 23:10:07"
"USD","2025-10-10T23:10:07.000Z","zwstx","75000000000","STX","75000.000","0.01","N/A","N/A","N/A","Trade Coin","supply","0xdb3e2305525dea657037fbccd55f33ecaaabb385aa6159b7042dda3a20b5deca","75000000000","75000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","10/10/2025 23:10:07"
