"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-11-06T18:03:31.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0x905ae35d431de595bfc901e4dfa8df5bbd748aab8f4f35836600e79b82e8ad63","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","11/06/2025 18:03:31"
"USD","2025-11-06T18:03:31.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0xf69e410966dab1d8c0adabfdc82cfdcc745adf4f89e40da3fec86b1edd9e5f7d","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","11/06/2025 18:03:31"
"USD","2025-11-06T18:03:31.000Z","","0","STX","610283.000","0.0004","","N/A","N/A","Send","'101870658'","0x33682659ff00738fec042277f677d7435974d74fff7e080016df0f3016a923ec","0","610283000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","11/06/2025 18:03:31"
"USD","2025-11-06T17:54:54.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0x9303f0759af717c187dad7f58e69c8ce9bda95ec4664989e1f1d6afe62e34889","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","11/06/2025 17:54:54"
"USD","2025-11-06T17:54:54.000Z","STX","0.001","","0","0","N/A","","","Receive","'101870658'","0x3c1a7faccc4f4e1b39cab163b24ebf09f4000dadf9e5b9fd2f43f33790cc36f0","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","101870658","11/06/2025 17:54:54"
"USD","2025-11-06T17:54:54.000Z","","0","STX","1000.000","0.0004","","N/A","N/A","Send","'101870658'","0x814bf6c5c7b8fc2839da14623c2b8662cbb5987849a3758033fb2d76b0498c5c","0","1000000000","400","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","101870658","11/06/2025 17:54:54"
"USD","2025-11-05T22:12:46.000Z","STX","564492.460","","0","0","N/A","","","Receive","","0xe7ee146f14fcef40528b89ef1821d0bad9cb6856f467a5fab281190de46a7a68","564492460000","0","0","SPJYNB7A3SGVZMXKHYPJJ9V9WWPN986NRESMN3P9","","","11/05/2025 22:12:46"
"USD","2025-11-04T17:04:04.000Z","STX","17048.032","","0","0.003","N/A","","N/A","Receive","claim-rewards","0xd998c786dc650a3ac26835bf95491e66e98fd0b6db5a7ae630a45f4590bd1387","17048032033","0","3000","SP1DCPBRETA7Z993PVC0DVVZHKCXYTZDC07DHQR3B.lp-incentives-v2","","","11/04/2025 17:04:04"
"USD","2025-11-04T17:04:04.000Z","STX","29743.125","","0","0.003","N/A","","N/A","Receive","claim-rewards","0xec7fcbb768d1c91dada4ef43b791cd67c1aacb411092f166affe1858654f7292","29743125386","0","3000","SP2WFSC5DQ7JQXF0AD2CSKDK5PKF8Z51BMPNMZBVR.lp-incentives-v2","","","11/04/2025 17:04:04"
"USD","2025-11-04T15:14:20.000Z","zaeusdc","999000000000","aeUSDC","999000000000","0.01","N/A","N/A","N/A","Trade Coin","supply","0x376e66a837efdeb42c3102182872147359eb0d0342f09fcb01f284f6afae8519","999000000000","999000000000","10000","","SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-vault","","11/04/2025 15:14:20"
