"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-11-06T20:14:14.000Z","STX","0.001","","0","0","N/A","","","Receive","'103463887'","0x030c577d98df0623d9bc6ff3c616fd4be3b90ef8891e8e738412f258a40e494a","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","103463887","11/06/2025 20:14:14"
"USD","2025-11-06T20:05:01.000Z","STX","0.001","","0","0","N/A","","","Receive","'103463887'","0xcd8ba608d8fdea7e8bbdb99f2c9a9b3e2be7a305efe44deac8b13035b076d119","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","103463887","11/06/2025 20:05:01"
"USD","2025-11-06T20:05:01.000Z","","0","STX","337000.000","0.00018","","N/A","N/A","Send","'103463887'","0x4f71f4094df71135d96ada0300d460212273c049f723aec526a75434d4337868","0","337000000000","180","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","103463887","11/06/2025 20:05:01"
"USD","2025-11-06T19:01:20.000Z","STX","0.001","","0","0","N/A","","","Receive","'103463887'","0x91e184c881df71bacffab2f54893e7ab1ee500adb8b24c078a8a8704e8cf5202","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","103463887","11/06/2025 19:01:20"
"USD","2025-11-06T19:01:20.000Z","STX","0.001","","0","0","N/A","","","Receive","'103463887'","0x4d0c612d1617c57374fca5b4ab91752ffdbe302a38b0fbce55db1c9b01a5a0e0","1000","0","0","SP2TBW1RSC44JZA4XQ1C2G5SZRGSMM14C5NWAKSDD","","103463887","11/06/2025 19:01:20"
"USD","2025-11-06T19:01:20.000Z","","0","STX","20.000","0.000182","","N/A","N/A","Send","'103463887'","0x8008fe8d1ec1c03b84d7d21b3f72a7b3b354ecbecff98f4da856f49641104655","0","20000000","182","","SP2TA4FGB43WVAS8MVS6YCWTSN2BZNQ1ASGEAKSDD","103463887","11/06/2025 19:01:20"
"USD","2025-11-05T22:02:53.000Z","STX","337451.070","","0","0","N/A","","","Receive","","0x64e20d18fcadf2288e088b75bf4a567234f0acca20ab7a2f7bd01ff46112de8f","337451070000","0","0","SPJYNB7A3SGVZMXKHYPJJ9V9WWPN986NRESMN3P9","","","11/05/2025 22:02:53"
"USD","2025-11-05T18:45:17.000Z","sbtc-token","897","sbtc-token-locked","5000001440","0","N/A","N/A","","Trade Coin","accept-withdrawal-request","0x5d0a8f8964a39b7658a53f768a22d128099dec329efe510cf8e63bc6531ad064","897","5000001440","0","","","","11/05/2025 18:45:17"
"USD","2025-11-05T16:59:40.000Z","sbtc-token-locked","5000001440","sbtc-token","5000001440","0.000841","N/A","N/A","N/A","Trade Coin","initiate-withdrawal-request","0x65e869e97b7a8fa86d4d2368f3d871a58c49191d3af1d7f63a5ebc6e6b43a6ab","5000001440","5000001440","841","","","","11/05/2025 16:59:40"
"USD","2025-11-05T16:49:08.000Z","STX","269.400","","0","0","N/A","","","Receive","","0xc6b0de1ef100199cff8f09342d9c2a173efbf33d61cabcc8fcf25eeee93f87a2","269400000","0","0","SP3125QHD69Q9H142EVKZMYDN60NNJQ7MXF1XJ5W8","","","11/05/2025 16:49:08"
