"currency","burnDate","inSymbol","inAmount","outSymbol","outAmount","xactnFee","inCoinPrice","outCoinPrice","xactnFeeCoinPrice","xactnType","xactnTypeDetail","xactnId","inAmountRaw","outAmountRaw","xactnFeeRaw","sender","recipient","memo","burnDateAltFormat1"
"USD","2025-11-21T22:31:11.000Z","","0","STX","1000.000","0.0004","","0.328","0.328","Send","","0xf52d5dd33eada345d099dd405b7a0eecc0311d8919233314ecfcfaf01ac910c6","0","1000000000","400","","SP3MY60E2F9TWFEH44HPF1Q3DYPD3X6EYR9T6S5BY","","11/21/2025 22:31:11"
"USD","2025-11-18T23:22:37.000Z","STX","0.001","","0","0","0.336","","","Receive","","0x11aae1ac70ab0f315a35e8614fec101cd8f4684c6214ce994f65ceec0ff5e165","1000","0","0","SP161D5EZWJ9YEQ09FVQJ4R2YYB2C1E3JX18N2P9T","","","11/18/2025 23:22:37"
"USD","2025-11-18T23:22:37.000Z","STX","0.001","","0","0","0.336","","","Receive","","0xa80fc5293368f5406169db4089bd0c064d8af78b4e44ee5f5d82c1c1c3c1526b","1000","0","0","SP161D5EZWJ9YEQ09FVQJ4R2YYB2C1E3JX18N2P9T","","","11/18/2025 23:22:37"
"USD","2025-11-18T23:22:37.000Z","STX","0.001","","0","0","0.336","","","Receive","","0xb2d4a0aed04586de11abe032837285ca0cc0970ab17b95ff866543852d7283bf","1000","0","0","SP161D5EZWJ9YEQ09FVQJ4R2YYB2C1E3JX18N2P9T","","","11/18/2025 23:22:37"
"USD","2025-11-18T23:22:37.000Z","","0","STX","96075.000","0.0004","","N/A","N/A","Send","","0x70ade899106b4f50b5c0696f8b160b28f27bb6c06327b9297828084a8d8ccbf1","0","96075000000","400","","SP164K26P6DQBRSMHFFA930TGDCWE141ZJ6SN2P9T","","11/18/2025 23:22:37"
"USD","2025-11-18T23:22:37.000Z","STX","200000.000","","0","0","N/A","","","Receive","","0xc68a725de53023a8546b8f8ebe7912d1ad392fa57edb530907c10fa613f8b06c","200000000000","0","0","SM30W6WZKNRJKTPVN09J7D8T2R989ZM25VBG2GHNC","","","11/18/2025 23:22:37"
"USD","2025-11-17T23:09:49.000Z","","0","sbtc-token","160000000","0.003","","N/A","N/A","Send","transfer","0xe2518c036202561af0b4412f8e15dbc7ff5e77dfeb15e919214f798ad06ee4fd","0","160000000","3000","","SP17VTVH34FKX3ZQQSTNPED4202BCRA2H9MR83DBX","","11/17/2025 23:09:49"
"USD","2025-11-17T22:45:01.000Z","sbtc-token","160000000","","0","0","N/A","","","Receive","transfer","0x4864a6371b92b87a00b98515313a221a80e0c4652b3582b6da8dddbb59cb93b5","160000000","0","0","SM3PZ37ZFE2NQQXCRTSPGXT9VWPR2HJKWNHFNMHQ6","","","11/17/2025 22:45:01"
"USD","2025-11-17T02:25:02.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x5fcb08010ee55076bbca0d4e1f3536447a3c9cae894f50497cca066c8dcbaf07","1000","0","0","SP38CXKZ4MHG39BXJFYVFM1KX2WPJSXWZSCQBW0WB","","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","","0","STX","194440.000","0.0004","","N/A","N/A","Send","","0x18a7bae3dd1b65a10ceb8066ee67a747d4c0d466ef4654dc464fea61034afdfe","0","194440000000","400","","SP38R7YQES1RQVPPQWFE301W7JFT1E4ZV4SKBW0WB","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","STX","80000.000","","0","0","N/A","","","Receive","","0xd7fc021040f800e2428c33b7c94267d1523ed936872b4f781fe242d161fdfe17","80000000000","0","0","SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES","","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","STX","1.000","","0","0","N/A","","","Receive","","0x30bb361dfff8dc3c35e00bb6a197ab462e969b3e3dcd14f11614ee1aaf1649ab","1000000","0","0","SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES","","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","STX","0.000","","0","0","N/A","","","Receive","","0xcd9c6a70f07baffff535b33dd32abde3e82154c105f64a66eb1d839064d14029","100","0","0","SP2672XX9H0FAR1KF5RT1K28ZTW0PHFJ2H7QJYDC","","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","STX","80000.000","","0","0","N/A","","","Receive","","0x8266b07de2efc754ce9729fe02736866572ec43f70a4abfdbcfb08b3157e39f5","80000000000","0","0","SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC","","","11/17/2025 02:25:02"
"USD","2025-11-17T02:25:02.000Z","STX","1.000","","0","0","N/A","","","Receive","","0x258be497526747ee52000097080401427bd936046c13b131ee766ef45edaf3b8","1000000","0","0","SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC","","","11/17/2025 02:25:02"
"USD","2025-11-16T23:56:57.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xfb5ddc305915e574591d6966440fdc4164b324285ba70b1ec3a69fead827e865","1000","0","0","SP38CXKZ4MHG39BXJFYVFM1KX2WPJSXWZSCQBW0WB","","","11/16/2025 23:56:57"
"USD","2025-11-16T23:56:57.000Z","STX","0.001","","0","0","N/A","","","Receive","","0xf968e5791a4eff0330a3c1a16095e581e12f61cb57307c697aaa3e3895e71ed8","1000","0","0","SP38CXKZ4MHG39BXJFYVFM1KX2WPJSXWZSCQBW0WB","","","11/16/2025 23:56:57"
"USD","2025-11-16T23:56:57.000Z","","0","STX","5.000","0.0004","","N/A","N/A","Send","","0xc9090c845b586ca246f99038758bb4b145c806ac52b5fdf7163455249d760058","0","5000000","400","","SP38R7YQES1RQVPPQWFE301W7JFT1E4ZV4SKBW0WB","","11/16/2025 23:56:57"
"USD","2025-11-06T23:19:50.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x55a9d5594b83493005afba1bfd7da12976109be64e46c585e29507c76e19538e","1000","0","0","SP29AXNRPZQ4GV99A1VKMF4GN272T99DD30P7C3DN","","","11/06/2025 23:19:50"
"USD","2025-11-06T23:19:50.000Z","","0","STX","59000.000","0.0004","","N/A","N/A","Send","","0xb6a2ff9b7545fb5e5c28723a8db6a5b668068e53ea10b793b73e7b35d9317b98","0","59000000000","400","","SP299EAKV0GXFYAGQ00MQMH2ZHD1EWV80M8K7C3DN","","11/06/2025 23:19:50"
"USD","2025-11-05T22:12:46.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x1e75ec11944c99b8bc2d92f30a8386874427f09c0bfb6e957c3123b7f772cbb2","1000","0","0","SP38WAFGBZP241AKVYFVG559Q9Q0NAV035ST0RRF9","","","11/05/2025 22:12:46"
"USD","2025-11-05T22:12:46.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x27c37b55ce321001716d78af14d2b0289a201b46319036dcfa82a8e559644059","1000","0","0","SP38WAFGBZP241AKVYFVG559Q9Q0NAV035ST0RRF9","","","11/05/2025 22:12:46"
"USD","2025-11-05T22:12:46.000Z","","0","STX","564492.460","0.0004","","N/A","N/A","Send","","0xe7ee146f14fcef40528b89ef1821d0bad9cb6856f467a5fab281190de46a7a68","0","564492460000","400","","SP388WPTVQMET2Z7M3ANQ6VRR8AATBF8VDPH0RRF9","","11/05/2025 22:12:46"
"USD","2025-11-05T22:02:53.000Z","STX","0.001","","0","0","N/A","","","Receive","","0x6b41ac48a410c7a1e7fa9d81b016bd1ad25ceb85928efed714d3efcd026cb331","1000","0","0","SP3R2KDYPFJV9Q8T87966YQRAM78ZQAA4JMFXHB5P","","","11/05/2025 22:02:53"
